index,Waypoint on GPS,Final Waypoint,Fishing day,set,Date,Biologist,Captain,Region,Site,Lumped site,Latitude,Longitude,Anglers,Bait type,Species or lure type,Color of lure,Size of bait (cm),Depth (ft),Species,Length,Weight,Sex,Fin clip #,Floy tag,Take or Released,"Notes (stomach, eyes, etc.)",taxa,Other notes/ Blood vial number,,,,,,,,,,,,,,,,,,,
62,240,240,4,4.18,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48017894,-123.0920937,3,Herring,NA,NA,6,143,lingcod,67,3.2,M,94A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
63,241,241,4,4.18,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48019453,-123.092154,3,Herring,NA,NA,6,148,quillback rockfish,31,0.58,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
64,242,242,4,4.18,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.4800362,-123.0920614,3,Herring,NA,NA,6,185,yelloweye rockfish,55,3.5,U,31A,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
65,242,242,4,4.18,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.4800362,-123.0920614,3,Herring,NA,NA,6,185,quillback rockfish,44,2,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
66,245,245,4,4.19,4/18/17,JS,SK,SJI,Pile Point,Pile Point,48.48068077,-123.0920065,3,Herring,NA,NA,6,52,lingcod,48,0.8,M,36A,NA,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
67,253,253,5,5.2,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.41265349,-122.8119847,4,Artificial lure,Jigs,Motor oil w/green skirt,8,75,lingcod,81,6.5,M,81A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
68,255,255,5,5.3,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.4124281,-122.8118654,4,Artificial lure,Jigs,Motor oil w/green skirt,8,180,yelloweye rockfish,48,1.15,M,75A,111,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
69,258,258,5,5.4,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.41251066,-122.8126619,4,Artificial lure,Jigs,Motor oil w/green skirt,8,174,quillback rockfish,41,1.5,F,NA,NA,Released,good; descended but did not release on first try,rockfish,,,,,,,,,,,,,,,,,,,,
70,259,259,5,5.4,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.41242265,-122.8128951,4,Artificial lure,Jigs,Motor oil w/green skirt,8,175,yelloweye rockfish,39,1.15,M,12A,112,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
71,262,262,5,5.5,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.41232995,-122.8196858,4,Artificial lure,Jigs,Motor oil w/green skirt,8,122,copper rockfish,34,0.7,F,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
72,264,264,5,5.6,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.41391648,-122.8365632,3,Artificial lure,Jigs,Motor oil w/green skirt,8,150,lingcod,71,3.4,F,83A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
73,273,273,5,5.1,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.44867682,-122.9442428,2,Artificial lure,Jigs,Motor oil w/green skirt,8,114,quillback rockfish,31,0.85,F,NA,NA,Released,eyed larvae; good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
74,274,274,5,5.1,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.44905677,-122.9441264,2,Artificial lure,Jigs,Motor oil w/green skirt,8,165,quillback rockfish,40,1.35,F,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
75,275,275,5,5.1,4/20/17,KA,SK,SJI,South Lopez,South Lopez,48.44919758,-122.9442118,2,Artificial lure,Jigs,Motor oil w/green skirt,8,200,lingcod,59,2.1,M,16A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
76,279,279,5,5.11,4/20/17,KA,SK,SJI,Pile Point,Pile Point,48.47336705,-123.0745389,3,Live large,Kelp greenling,NA,30,110,lingcod,95,10,F,88A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
77,284,284,5,5.13,4/20/17,KA,SK,SJI,Pile Point,Pile Point,48.48043861,-123.0914076,2,Live large,Kelp greenling,NA,31,131,lingcod,94,9.5,F,86A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
78,288,288,5,5.15,4/20/17,KA,SK,SJI,Pile Point,Pile Point,48.48009437,-123.0927945,2,Live large,Kelp greenling,NA,35,130,lingcod,91,7.8,F,76A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
79,289,289,5,5.15,4/20/17,KA,SK,SJI,Pile Point,Pile Point,48.48033426,-123.0913968,2,Live large,Kelp greenling,NA,40,125,lingcod,94,8,F,60A,114,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
80,295,295,5,5.17,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46966753,-123.0667611,3,Herring,NA,NA,6,118,quillback rockfish,31,0.65,F,NA,NA,Released,eyed larvae; good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
81,298,298,5,5.18,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46990021,-123.067349,3,Herring,NA,NA,6,89,copper rockfish,36,0.8,F,NA,NA,Released,everted; good eyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
82,299,299,5,5.18,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46970098,-123.0670504,3,Herring,NA,NA,6,90,copper rockfish,36,0.9,M,NA,NA,Released,milt; good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
83,299,299,5,5.18,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46970098,-123.0670504,3,Herring,NA,NA,6,90,copper rockfish,37,1.1,F,NA,NA,Released,eyed larvae; good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
84,299,299,5,5.18,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46970098,-123.0670504,3,Herring,NA,NA,6,90,lingcod,60,2.2,M,92A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
85,303,303,5,5.19,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46927836,-123.0664031,4,Herring,NA,NA,6,170,quillback rockfish,30,0.5,M,NA,NA,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
86,306,306,5,5.2,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46901198,-123.0633286,4,Herring,NA,NA,6,72,copper rockfish,31,0.55,F,NA,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
87,307,307,5,5.2,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46897586,-123.0632362,4,Herring,NA,NA,6,75,kelp greenling,36,0.78,M,NA,NA,Take,kept for bait,groundfish,,,,,,,,,,,,,,,,,,,,
88,311,311,5,5.21,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46417663,-123.0559815,4,Herring,NA,NA,6,116,lingcod,56,1.8,M,29A,115,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
89,312,312,5,5.21,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46337423,-123.0544813,4,Herring,NA,NA,6,181,lingcod,60,2.1,M,77A,NA,Released?,,lingcod,I think this got released but forgot to tag it.,,,,,,,,,,,,,,,,,,,
90,313,313,5,5.21,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46324331,-123.0543017,4,Herring,NA,NA,6,185,lingcod,43,NA,F,47A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
91,314,314,5,5.21,4/20/17,KA,SK,SJI,Eagle Point,Eagle Point,48.46302781,-123.0535836,4,Herring,NA,NA,6,NA,quillback rockfish,33,0.78,M,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
92,319,319,6,6.1,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.5455603,-122.7647336,4,Herring,NA,NA,6,110,quillback rockfish,33,0.72,M,NA,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
93,321,321,6,6.1,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.54512888,-122.7651472,4,Herring,NA,NA,6,170,quillback rockfish,33,0.6,F,NA,NA,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
94,324,324,6,6.2,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.54576415,-122.7644211,4,Herring,NA,NA,6,140,quillback rockfish,32,0.65,F,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
95,324,324,6,6.2,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.54576415,-122.7644211,4,Herring,NA,NA,6,140,quillback rockfish,42,1.45,F,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
96,326,326,6,6.2,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.54513668,-122.7645196,4,Herring,NA,NA,6,200,quillback rockfish,34,0.8,F,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
97,328,328,6,6.3,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55424387,-122.7605832,4,Herring,NA,NA,6,230,quillback rockfish,42,1.5,M,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
98,329,329,6,6.3,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55415904,-122.7604288,4,Herring,NA,NA,6,230,quillback rockfish,41,1.6,M,NA,NA,Released,good; descended,rockfish,,,,,,,,,,,,,,,,,,,,
99,331,331,6,6.4,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55472608,-122.7607216,4,Herring,NA,NA,6,238,quillback rockfish,42,1.5,F,NA,NA,Released,everted; one popeye; descended,rockfish,,,,,,,,,,,,,,,,,,,,
100,334,334,6,6.5,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.55571615,-122.7608643,4,Herring,NA,NA,6,294,quillback rockfish,36,0.95,F,NA,NA,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
101,337,337,6,6.6,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.56261488,-122.7704301,4,Herring,NA,NA,6,120,copper rockfish,37,1,F,NA,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
102,338,338,6,6.6,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.56840761,-122.7596061,4,Herring,NA,NA,6,135,quillback rockfish,33,0.7,F,NA,NA,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
